epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,16296.3,0.9977,0.75884,1.39854,0.89162,0.89727,0.88763,0.57212,1.25814,0.54657,2.1092,8.34188e-05,8.34188e-05,8.34188e-05
158,16514.3,0.99003,0.73782,1.39078,0.89316,0.89617,0.88759,0.57282,1.25594,0.5463,2.10873,7.99651e-05,7.99651e-05,7.99651e-05
159,16732.7,0.99133,0.74205,1.3971,0.89426,0.89651,0.88739,0.57358,1.25369,0.54543,2.10826,7.65785e-05,7.65785e-05,7.65785e-05
160,16951.3,0.98969,0.74311,1.39798,0.89276,0.89621,0.88625,0.57343,1.25194,0.54592,2.10771,7.32598e-05,7.32598e-05,7.32598e-05
161,17168.5,0.98515,0.74489,1.38897,0.89273,0.89592,0.88574,0.57371,1.25004,0.545,2.10742,7.00098e-05,7.00098e-05,7.00098e-05
162,17383.2,0.99324,0.74839,1.39685,0.89171,0.89545,0.88573,0.57369,1.24872,0.54497,2.1078,6.68294e-05,6.68294e-05,6.68294e-05
163,17597.6,0.98438,0.74168,1.38778,0.89287,0.89723,0.88594,0.57442,1.24727,0.54494,2.10829,6.37192e-05,6.37192e-05,6.37192e-05
164,17812.3,0.97029,0.7342,1.38402,0.89296,0.89672,0.88604,0.5748,1.24557,0.54518,2.10787,6.06801e-05,6.06801e-05,6.06801e-05
165,18026.6,0.98649,0.74793,1.39453,0.8926,0.89617,0.88589,0.57565,1.24351,0.54531,2.10682,5.77128e-05,5.77128e-05,5.77128e-05
166,18241.4,0.98261,0.74391,1.3935,0.89244,0.89563,0.88434,0.57574,1.24167,0.54498,2.10578,5.48181e-05,5.48181e-05,5.48181e-05
167,18456.2,0.98036,0.73669,1.38525,0.8927,0.89558,0.88448,0.57634,1.23969,0.54488,2.10481,5.19966e-05,5.19966e-05,5.19966e-05
168,18671.3,0.97983,0.73841,1.38858,0.89223,0.89581,0.88558,0.57724,1.23791,0.54521,2.10456,4.92491e-05,4.92491e-05,4.92491e-05
169,18886.5,0.9806,0.73877,1.38906,0.89188,0.89617,0.88527,0.57723,1.23598,0.54521,2.10414,4.65762e-05,4.65762e-05,4.65762e-05
170,19101,0.97559,0.73823,1.38407,0.89129,0.89601,0.88546,0.57794,1.23452,0.54536,2.10418,4.39786e-05,4.39786e-05,4.39786e-05
171,19315.9,0.98317,0.74231,1.38706,0.89178,0.89563,0.88556,0.5783,1.2336,0.54568,2.10536,4.1457e-05,4.1457e-05,4.1457e-05
172,19530.7,0.97811,0.72959,1.38368,0.89263,0.89492,0.8853,0.57881,1.2323,0.54598,2.10483,3.90119e-05,3.90119e-05,3.90119e-05
173,19745.6,0.97784,0.73665,1.38436,0.8929,0.89399,0.88515,0.57842,1.23073,0.54645,2.10412,3.6644e-05,3.6644e-05,3.6644e-05
174,19960.2,0.96859,0.72604,1.38148,0.89155,0.89344,0.88466,0.57878,1.22964,0.54639,2.10466,3.43538e-05,3.43538e-05,3.43538e-05
